PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss
28155,27508,163325,164933,7520,0
28385,27572,163401,165014,7530,0
28254,27484,163388,164855,7540,0
28304,27529,163321,164912,7550,0
28265,27496,163397,165008,7560,0
27895,27171,163082,164728,7570,0
28284,27522,163305,164925,7580,0
28290,27457,163385,165007,7590,0
28272,27485,163345,164956,7600,0
28303,27548,163401,165028,7610,0
28240,27465,163393,165021,7620,0
28274,27500,163332,164933,7630,0
28283,27514,163374,165000,7640,0
28256,27483,163376,164999,7650,0
28301,27539,163323,164961,7660,0
28282,27509,163404,165043,7670,0
28253,27423,163334,164952,7680,0
28481,27719,165409,167199,7690,0
28691,27917,168472,170088,7700,0
28683,27896,168244,169966,7710,0
28752,27984,167978,170013,7720,0
28679,27906,168316,170066,7730,0
28645,27888,168290,170022,7740,0
28668,27945,168236,170017,7750,0
28888,27872,167930,169463,7760,0
28607,27931,168222,169907,7770,0
28754,27953,168284,170035,7780,0
28695,27897,168276,170010,7790,0
28725,27919,168240,169972,7800,0
28573,27550,168288,170055,7810,0
28354,27600,167941,169671,7820,0
28675,27892,168308,170070,7830,0
28745,27963,168224,169993,7840,0
28692,27918,168299,170059,7850,0
28700,27934,168244,169995,7860,0
28729,27876,168225,169968,7870,0
28646,27871,168290,170051,7880,0
29035,28231,168213,169964,7890,0
28701,27937,168292,170033,7900,0
28666,27894,168244,169989,7910,0
28711,27945,168249,169995,7920,0
28675,27888,168272,170005,7930,0
28723,27958,168175,169966,7940,0
28704,27919,168291,170009,7950,0
28691,27898,168320,169962,7960,0
28710,27931,168110,170044,7970,0
28683,27890,168250,169949,7980,0
28702,27927,168285,170049,7990,0
28580,27884,168273,169842,8000,0
28870,27931,167752,169519,8010,0
28601,27917,168276,170044,8020,0
28622,27893,168240,170003,8030,0
28784,27955,168200,169953,8040,0
28756,27949,168267,170038,8050,0
28665,27920,168296,170048,8060,0
28506,27744,168083,169810,8070,0
28720,27951,168215,169970,8080,0
28701,27925,168267,170024,8090,0
28695,27914,168237,169998,8100,0
28686,27904,168197,169971,8110,0
28718,27938,168259,170034,8120,0
28646,27874,168233,169992,8130,0
29030,28217,168207,169977,8140,0
28688,27908,168240,169992,8150,0
28724,27946,168189,169927,8160,0
28677,27886,168270,169846,8170,0
28690,27932,168215,169996,8180,0
28724,27964,168180,169917,8190,0
28909,28122,168186,169990,8200,0
29163,28249,168416,170014,8210,0
29078,28289,168079,170017,8220,0
29135,28351,168231,169934,8230,0
29083,28304,168251,170010,8240,0
29029,28357,168172,169928,8250,0
